Index, Current Heading, Target Heading
199, 0.3471, 0.3001, 
200, 0.3676, 0.3080, 
201, 0.3859, 0.3175, 
202, 0.4037, 0.3276, 
203, 0.4176, 0.2746, 
204, 0.4288, 0.2815, 
205, 0.4371, 0.2883, 
206, 0.4405, 0.2968, 
207, 0.4378, 0.3024, 
208, 0.4295, 0.2462, 
209, 0.4163, 0.2451, 
210, 0.4021, 0.2418, 
211, 0.3866, 0.2359, 
212, 0.3709, 0.4403, 
213, 0.3538, 0.4400, 
214, 0.3357, 0.3581, 
215, 0.3170, 0.3536, 
216, 0.2966, 0.3483, 
217, 0.2781, 0.3416, 
218, 0.2604, 0.3314, 
219, 0.2447, 0.3231, 
220, 0.2337, 0.3138, 
221, 0.2259, 0.3014, 
222, 0.2219, 0.2345, 
223, 0.2225, 0.2233, 
224, 0.2281, 0.4118, 
225, 0.2381, 0.4111, 
226, 0.2502, 0.4129, 
227, 0.2665, 0.4166, 
228, 0.2852, 0.3428, 
229, 0.3085, 0.3495, 
230, 0.3321, 0.3573, 
231, 0.3575, 0.3697, 
232, 0.3833, 0.3128, 
233, 0.4054, 0.3233, 
234, 0.4245, 0.3328, 
235, 0.4400, 0.3454, 
236, 0.4502, 0.2871, 
237, 0.4574, 0.2925, 
238, 0.4604, 0.2963, 
239, 0.4595, 0.2994, 
240, 0.4549, 0.3015, 
241, 0.4461, 0.2421, 
242, 0.4327, 0.2375, 
243, 0.4166, 0.2316, 
244, 0.3976, 0.4323, 
245, 0.3778, 0.4306, 
246, 0.3581, 0.3500, 
247, 0.3373, 0.3429, 
248, 0.3169, 0.3363, 
249, 0.2990, 0.3282, 
250, 0.2818, 0.3220, 
251, 0.2639, 0.3092, 
252, 0.2465, 0.2953, 
253, 0.2354, 0.2839, 
254, 0.2276, 0.2160, 
255, 0.2237, 0.3949, 
256, 0.2240, 0.3907, 
257, 0.2277, 0.3869, 
258, 0.2348, 0.3849, 
259, 0.2445, 0.3844, 
260, 0.2582, 0.3131, 
261, 0.2748, 0.3130, 
262, 0.2923, 0.3159, 
263, 0.3107, 0.3195, 
264, 0.3280, 0.3252, 
265, 0.3455, 0.3323, 
266, 0.3614, 0.2727, 
267, 0.3776, 0.2796, 
268, 0.3918, 0.2872, 
269, 0.4021, 0.2936, 
270, 0.4083, 0.3000, 
271, 0.4115, 0.2458, 
272, 0.4109, 0.2479, 
273, 0.4074, 0.2489, 
274, 0.4010, 0.2487, 
275, 0.3918, 0.2477, 
276, 0.3823, 0.2450, 
277, 0.3721, 0.3806, 
278, 0.3613, 0.3810, 
279, 0.3487, 0.3801, 
280, 0.3235, 0.3776, 
281, 0.3074, 0.3743, 
282, 0.2916, 0.3700, 
283, 0.2784, 0.3644, 
284, 0.2642, 0.2907, 
285, 0.2529, 0.2832, 
286, 0.2453, 0.2730, 
287, 0.2414, 0.2649, 
288, 0.2408, 0.2571, 
289, 0.2437, 0.2496, 
290, 0.2501, 0.2415, 
291, 0.2591, 0.3747, 
292, 0.2694, 0.3753, 
293, 0.2813, 0.3780, 
294, 0.2940, 0.3809, 
295, 0.3056, 0.3869, 
296, 0.3172, 0.3922, 
297, 0.3274, 0.3277, 
298, 0.3371, 0.3324, 
299, 0.3442, 0.3364, 
300, 0.3511, 0.3429, 
301, 0.3558, 0.3484, 
302, 0.3591, 0.3540, 
303, 0.3612, 0.2902, 
304, 0.3625, 0.2920, 
305, 0.3628, 0.2934, 
306, 0.3625, 0.2943, 
307, 0.3617, 0.2949, 
308, 0.3603, 0.2951, 
309, 0.3582, 0.2376, 
310, 0.3552, 0.2356, 
311, 0.3519, 0.2330, 
312, 0.3474, 0.2291, 
313, 0.3422, 0.4322, 
314, 0.3354, 0.4355, 
315, 0.3276, 0.3583, 
316, 0.3184, 0.3575, 
317, 0.3092, 0.3567, 
318, 0.2989, 0.3538, 
319, 0.2893, 0.3510, 
320, 0.2817, 0.3474, 
321, 0.2764, 0.2789, 
322, 0.2728, 0.2743, 
323, 0.2711, 0.2696, 
324, 0.2715, 0.2649, 
325, 0.2741, 0.2595, 
326, 0.2789, 0.2554, 
327, 0.2848, 0.2515, 
328, 0.2926, 0.3853, 
329, 0.3011, 0.3885, 
330, 0.3100, 0.3941, 
331, 0.3181, 0.3996, 
332, 0.3238, 0.4061, 
333, 0.3290, 0.3377, 
334, 0.3321, 0.3412, 
335, 0.3342, 0.3440, 
336, 0.3358, 0.3467, 
337, 0.3371, 0.3494, 
338, 0.3383, 0.3520, 
339, 0.3396, 0.3547, 
340, 0.3411, 0.4661, 
341, 0.3428, 0.4727, 
342, 0.3448, 0.4795, 
343, 0.3468, 0.4853, 
344, 0.3491, 0.4914, 
345, 0.3521, 0.4996, 
346, 0.3566, 0.4162, 
347, 0.3623, 0.4208, 
348, 0.3698, 0.4258, 
349, 0.3794, 0.4316, 
350, 0.3875, 0.4351, 
351, 0.3984, 0.4429, 
352, 0.4104, 0.5321, 
353, 0.4241, 0.5423, 
354, 0.4379, 0.5538, 
355, 0.4536, 0.5659, 
356, 0.4677, 0.5826, 
357, 0.4815, 0.6404, 
358, 0.4932, 0.6533, 
359, 0.5038, 0.6670, 
360, 0.5140, 0.5282, 
361, 0.5247, 0.6983, 
362, 0.5334, 0.7135, 
363, 0.5409, 0.6125, 
364, 0.5492, 0.6207, 
365, 0.5590, 0.7519, 
366, 0.5685, 0.7658, 
367, 0.5792, 0.7804, 
368, 0.5924, 0.6588, 
369, 0.6060, 0.6719, 
370, 0.6197, 0.6826, 
371, 0.6369, 0.6968, 
372, 0.6535, 0.7127, 
373, 0.6726, 0.7292, 
374, 0.6910, 0.7521, 
375, 0.7097, 0.7722, 
376, 0.7265, 0.7937, 
377, 0.7396, 0.8178, 
378, 0.7504, 0.8376, 
379, 0.7610, 0.8583, 
380, 0.7700, 0.7057, 
381, 0.7779, 0.7162, 
382, 0.7842, 0.7243, 
383, 0.7894, 0.7343, 
384, 0.7937, 0.7419, 
385, 0.7974, 0.7493, 
386, 0.8003, 0.7583, 
387, 0.8019, 0.7636, 
388, 0.8027, 0.7706, 
389, 0.8026, 0.7773, 
390, 0.8014, 0.7853, 
391, 0.7992, 0.7915, 
392, 0.7966, 0.7960, 
393, 0.7938, 0.8013, 
394, 0.7904, 0.8052, 
395, 0.7868, 0.8098, 
396, 0.7836, 0.8131, 
397, 0.7801, 0.6560, 
398, 0.7770, 0.6835, 
399, 0.7745, 0.6489, 
400, 0.7729, 0.6447, 
401, 0.7722, 0.6765, 
402, 0.7721, 0.6733, 
403, 0.7722, 0.6707, 
404, 0.7720, 0.6681, 
405, 0.7709, 0.5579, 
406, 0.7683, 0.5528, 
407, 0.7641, 0.5458, 
408, 0.7578, 0.5378, 
409, 0.7514, 0.5329, 
410, 0.7441, 0.5251, 
411, 0.7340, 0.5191, 
412, 0.7228, 0.5097, 
413, 0.7083, 0.4994, 
414, 0.6919, 0.4006, 
415, 0.6739, 0.3873, 
416, 0.6536, 0.3729, 
417, 0.6310, 0.3524, 
418, 0.6083, 0.3349, 
419, 0.5841, 0.3161, 
420, 0.5618, 0.2956, 
421, 0.5369, 0.2671, 
422, 0.5118, 0.2440, 
423, 0.4867, 0.4301, 
424, 0.4606, 0.4120, 
425, 0.4423, 0.3232, 
426, 0.4217, 0.3043, 
427, 0.4001, 0.2848, 
428, 0.3804, 0.2706, 
429, 0.3618, 0.2495, 
430, 0.3424, 0.2281, 
431, 0.3249, 0.4109, 
432, 0.3086, 0.3958, 
433, 0.2936, 0.3809, 
434, 0.2819, 0.3659, 
435, 0.2706, 0.2810, 
436, 0.2620, 0.2640, 
437, 0.2565, 0.2507, 
438, 0.2533, 0.2378, 
439, 0.2526, 0.4258, 
440, 0.2541, 0.4211, 
441, 0.2568, 0.4176, 
442, 0.2601, 0.4155, 
443, 0.2641, 0.5053, 
444, 0.2689, 0.5071, 
445, 0.2744, 0.5099, 
446, 0.2807, 0.5122, 
447, 0.2876, 0.5165, 
448, 0.2953, 0.5216, 
449, 0.3048, 0.5257, 
450, 0.3156, 0.5324, 
451, 0.3295, 0.2652, 
452, 0.3475, 0.2653, 
453, 0.3651, 0.2661, 
454, 0.3844, 0.2695, 
455, 0.4072, 0.2722, 
456, 0.4317, 0.2804, 
457, 0.4510, 0.5061, 
458, 0.4668, 0.2339, 
459, 0.4796, 0.2384, 
460, 0.4885, 0.2444, 
461, 0.4917, 0.2486, 
462, 0.4906, 0.2519, 
463, 0.4848, 0.2038, 
464, 0.4751, 0.5595, 
465, 0.4601, 0.3973, 
466, 0.4427, 0.3987, 
467, 0.4195, 0.3988, 
468, 0.3987, 0.3961, 
469, 0.3764, 0.3913, 
470, 0.3531, 0.3126, 
471, 0.3301, 0.3036, 
472, 0.3095, 0.2933, 
473, 0.2938, 0.2816, 
474, 0.2841, 0.2689, 
475, 0.2779, 0.2593, 
476, 0.2740, 0.4519, 
477, 0.2737, 0.6242, 
478, 0.2760, 0.6256, 
479, 0.2805, 0.3604, 
480, 0.2872, 0.3576, 
